locus_tag	ftype	length_bp	gene	EC_number	COG	product
IBIODCEP_00001	gene	522				
IBIODCEP_00001	CDS	522			COG2826	IS30 family transposase ISHahy9
IBIODCEP_00002	gene	2871				
IBIODCEP_00002	CDS	2871				hypothetical protein
IBIODCEP_00003	gene	1260				
IBIODCEP_00003	CDS	1260				hypothetical protein
IBIODCEP_00004	gene	2217				
IBIODCEP_00004	CDS	2217				hypothetical protein
IBIODCEP_00005	gene	1683	engB_1			
IBIODCEP_00005	CDS	1683	engB_1			GTP-binding protein EngB
IBIODCEP_00006	gene	156				
IBIODCEP_00006	CDS	156				hypothetical protein
IBIODCEP_00007	gene	177				
IBIODCEP_00007	CDS	177				hypothetical protein
IBIODCEP_00008	gene	513				
IBIODCEP_00008	CDS	513				hypothetical protein
IBIODCEP_00009	gene	531	ybdM			
IBIODCEP_00009	CDS	531	ybdM		COG1475	putative protein YbdM
IBIODCEP_00010	gene	1320				
IBIODCEP_00010	CDS	1320				hypothetical protein
IBIODCEP_00011	gene	1413				
IBIODCEP_00011	CDS	1413				hypothetical protein
IBIODCEP_00012	gene	312				
IBIODCEP_00012	CDS	312				hypothetical protein
IBIODCEP_00013	gene	1245				
IBIODCEP_00013	CDS	1245				hypothetical protein
IBIODCEP_00014	gene	360				
IBIODCEP_00014	CDS	360				hypothetical protein
IBIODCEP_00015	gene	1410				
IBIODCEP_00015	CDS	1410				hypothetical protein
IBIODCEP_00016	gene	264				
IBIODCEP_00016	CDS	264				hypothetical protein
IBIODCEP_00017	gene	279				
IBIODCEP_00017	CDS	279				hypothetical protein
IBIODCEP_00018	gene	285				
IBIODCEP_00018	CDS	285				hypothetical protein
IBIODCEP_00019	gene	378				
IBIODCEP_00019	CDS	378				hypothetical protein
IBIODCEP_00020	gene	1266				
IBIODCEP_00020	CDS	1266				hypothetical protein
IBIODCEP_00021	gene	915				
IBIODCEP_00021	CDS	915				hypothetical protein
IBIODCEP_00022	gene	645				
IBIODCEP_00022	CDS	645				hypothetical protein
IBIODCEP_00023	gene	1179				
IBIODCEP_00023	CDS	1179				hypothetical protein
IBIODCEP_00024	gene	462				
IBIODCEP_00024	CDS	462				hypothetical protein
IBIODCEP_00025	gene	345				
IBIODCEP_00025	CDS	345				hypothetical protein
IBIODCEP_00026	gene	960				
IBIODCEP_00026	CDS	960				hypothetical protein
IBIODCEP_00027	gene	750				
IBIODCEP_00027	CDS	750				hypothetical protein
IBIODCEP_00028	gene	3852				
IBIODCEP_00028	CDS	3852				hypothetical protein
IBIODCEP_00029	gene	474				
IBIODCEP_00029	CDS	474				hypothetical protein
IBIODCEP_00030	gene	435				
IBIODCEP_00030	CDS	435				hypothetical protein
IBIODCEP_00031	gene	1434				
IBIODCEP_00031	CDS	1434				hypothetical protein
IBIODCEP_00032	gene	216				
IBIODCEP_00032	CDS	216				hypothetical protein
IBIODCEP_00033	gene	873				
IBIODCEP_00033	CDS	873				hypothetical protein
IBIODCEP_00034	gene	414				
IBIODCEP_00034	CDS	414				hypothetical protein
IBIODCEP_00035	gene	384				
IBIODCEP_00035	CDS	384				hypothetical protein
IBIODCEP_00036	gene	336				
IBIODCEP_00036	CDS	336				hypothetical protein
IBIODCEP_00037	gene	252				
IBIODCEP_00037	CDS	252				hypothetical protein
IBIODCEP_00038	gene	1047				
IBIODCEP_00038	CDS	1047				hypothetical protein
IBIODCEP_00039	gene	357				
IBIODCEP_00039	CDS	357				hypothetical protein
IBIODCEP_00040	gene	666				
IBIODCEP_00040	CDS	666				hypothetical protein
IBIODCEP_00041	gene	315				
IBIODCEP_00041	CDS	315				hypothetical protein
IBIODCEP_00042	gene	120				
IBIODCEP_00042	CDS	120				hypothetical protein
IBIODCEP_00043	gene	1545				
IBIODCEP_00043	CDS	1545				hypothetical protein
IBIODCEP_00044	gene	1560				
IBIODCEP_00044	CDS	1560				hypothetical protein
IBIODCEP_00045	gene	1365				
IBIODCEP_00045	CDS	1365				hypothetical protein
IBIODCEP_00046	gene	903				
IBIODCEP_00046	CDS	903				hypothetical protein
IBIODCEP_00047	gene	171				
IBIODCEP_00047	CDS	171				hypothetical protein
IBIODCEP_00048	gene	189				
IBIODCEP_00048	CDS	189				hypothetical protein
