locus_tag	ftype	length_bp	gene	EC_number	COG	product
OOLAICBM_00001	gene	1422				
OOLAICBM_00001	CDS	1422				hypothetical protein
OOLAICBM_00002	gene	486				
OOLAICBM_00002	CDS	486				hypothetical protein
OOLAICBM_00003	gene	846	cvfB			
OOLAICBM_00003	CDS	846	cvfB		COG2996	Conserved virulence factor B
OOLAICBM_00004	gene	462	cdd			
OOLAICBM_00004	CDS	462	cdd	3.5.4.5	COG0295	Cytidine deaminase
OOLAICBM_00005	gene	738				
OOLAICBM_00005	CDS	738				hypothetical protein
OOLAICBM_00006	gene	1320				
OOLAICBM_00006	CDS	1320				hypothetical protein
OOLAICBM_00007	gene	2358	secA_1			
OOLAICBM_00007	CDS	2358	secA_1		COG0653	Protein translocase subunit SecA
OOLAICBM_00008	gene	1365				
OOLAICBM_00008	CDS	1365				hypothetical protein
OOLAICBM_00009	gene	1305				
OOLAICBM_00009	CDS	1305				hypothetical protein
OOLAICBM_00010	gene	1893	lytC_1			
OOLAICBM_00010	CDS	1893	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
OOLAICBM_00011	gene	1107				
OOLAICBM_00011	CDS	1107				hypothetical protein
OOLAICBM_00012	gene	663	wecA			
OOLAICBM_00012	CDS	663	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
OOLAICBM_00013	gene	780	tuaG_1			
OOLAICBM_00013	CDS	780	tuaG_1	2.4.-.-	COG0463	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
OOLAICBM_00014	gene	813				
OOLAICBM_00014	CDS	813				hypothetical protein
OOLAICBM_00015	gene	1188	tagF			
OOLAICBM_00015	CDS	1188	tagF	2.7.8.12	COG1887	Teichoic acid poly(glycerol phosphate) polymerase
OOLAICBM_00016	gene	1122				
OOLAICBM_00016	CDS	1122				hypothetical protein
OOLAICBM_00017	gene	765	tuaG_2			
OOLAICBM_00017	CDS	765	tuaG_2	2.4.-.-	COG0463	Putative teichuronic acid biosynthesis glycosyltransferase TuaG
OOLAICBM_00018	gene	1101	mshA			
OOLAICBM_00018	CDS	1101	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OOLAICBM_00019	gene	1446	fcl			
OOLAICBM_00019	CDS	1446	fcl	1.1.1.271		GDP-L-fucose synthase
OOLAICBM_00020	gene	1560	murJ			
OOLAICBM_00020	CDS	1560	murJ		COG0728	putative lipid II flippase MurJ
OOLAICBM_00021	gene	1230				
OOLAICBM_00021	CDS	1230				hypothetical protein
OOLAICBM_00022	gene	2145				
OOLAICBM_00022	CDS	2145				hypothetical protein
OOLAICBM_00023	gene	1350	alsT			
OOLAICBM_00023	CDS	1350	alsT		COG1115	Amino-acid carrier protein AlsT
OOLAICBM_00024	gene	786	tagU_1			
OOLAICBM_00024	CDS	786	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
OOLAICBM_00025	gene	1041	tagU_2			
OOLAICBM_00025	CDS	1041	tagU_2	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
OOLAICBM_00026	gene	789	ybiV			
OOLAICBM_00026	CDS	789	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
OOLAICBM_00027	gene	1128				
OOLAICBM_00027	CDS	1128				hypothetical protein
OOLAICBM_00028	gene	264	ptsH			
OOLAICBM_00028	CDS	264	ptsH		COG1925	Phosphocarrier protein HPr
OOLAICBM_00029	gene	1716	ptsI			
OOLAICBM_00029	CDS	1716	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
OOLAICBM_00030	gene	654				
OOLAICBM_00030	CDS	654				hypothetical protein
