locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJOHOOOO_00001	gene	1380	mnmE			
IJOHOOOO_00001	CDS	1380	mnmE	3.6.5.-	COG0486	tRNA modification GTPase MnmE
IJOHOOOO_00002	gene	75				
IJOHOOOO_00002	tRNA	75				tRNA-Arg(acg)
IJOHOOOO_00003	gene	1317	cpdA_1			
IJOHOOOO_00003	CDS	1317	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
IJOHOOOO_00004	gene	186				
IJOHOOOO_00004	CDS	186				hypothetical protein
IJOHOOOO_00005	gene	609				
IJOHOOOO_00005	CDS	609				hypothetical protein
IJOHOOOO_00006	gene	540				
IJOHOOOO_00006	CDS	540				hypothetical protein
IJOHOOOO_00007	gene	1170				
IJOHOOOO_00007	CDS	1170				hypothetical protein
IJOHOOOO_00008	gene	1227				
IJOHOOOO_00008	CDS	1227		3.4.11.-		Aminopeptidase 2
IJOHOOOO_00009	gene	582				
IJOHOOOO_00009	CDS	582				hypothetical protein
IJOHOOOO_00010	gene	552				
IJOHOOOO_00010	CDS	552				hypothetical protein
IJOHOOOO_00011	gene	765	rhaR_1			
IJOHOOOO_00011	CDS	765	rhaR_1			HTH-type transcriptional activator RhaR
IJOHOOOO_00012	gene	693	ispD			
IJOHOOOO_00012	CDS	693	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
IJOHOOOO_00013	gene	489	ispF			
IJOHOOOO_00013	CDS	489	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
IJOHOOOO_00014	gene	1281	ugd			
IJOHOOOO_00014	CDS	1281	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
IJOHOOOO_00015	gene	423	rpsL			
IJOHOOOO_00015	CDS	423	rpsL		COG0048	30S ribosomal protein S12
IJOHOOOO_00016	gene	471	rpsG			
IJOHOOOO_00016	CDS	471	rpsG			30S ribosomal protein S7
IJOHOOOO_00017	gene	2067	fusA_1			
IJOHOOOO_00017	CDS	2067	fusA_1		COG0480	Elongation factor G
IJOHOOOO_00018	gene	381	lytC_1			
IJOHOOOO_00018	CDS	381	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
IJOHOOOO_00019	gene	978	surA			
IJOHOOOO_00019	CDS	978	surA	5.2.1.8		Chaperone SurA
IJOHOOOO_00020	gene	351	ssrA			
IJOHOOOO_00020	tmRNA	351	ssrA			transfer-messenger RNA, SsrA
IJOHOOOO_00021	gene	696	rspR_1			
IJOHOOOO_00021	CDS	696	rspR_1		COG1802	HTH-type transcriptional repressor RspR
IJOHOOOO_00022	gene	1245	fldA			
IJOHOOOO_00022	CDS	1245	fldA	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
IJOHOOOO_00023	gene	1236	fldB			
IJOHOOOO_00023	CDS	1236	fldB	4.2.1.-		(R)-phenyllactyl-CoA dehydratase alpha subunit
IJOHOOOO_00024	gene	1119	hadC_1			
IJOHOOOO_00024	CDS	1119	hadC_1	4.2.1.157	COG1775	(R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit
IJOHOOOO_00025	gene	1134	carC_1			
IJOHOOOO_00025	CDS	1134	carC_1	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
IJOHOOOO_00026	gene	792	carD_1			
IJOHOOOO_00026	CDS	792	carD_1	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
IJOHOOOO_00027	gene	1008	carE_1			
IJOHOOOO_00027	CDS	1008	carE_1	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
IJOHOOOO_00028	gene	993	hpr			
IJOHOOOO_00028	CDS	993	hpr	1.1.1.81	COG1052	Hydroxypyruvate reductase
IJOHOOOO_00029	gene	1326	brnQ_1			
IJOHOOOO_00029	CDS	1326	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
IJOHOOOO_00030	gene	1185	aspC			
IJOHOOOO_00030	CDS	1185	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
IJOHOOOO_00031	gene	879				
IJOHOOOO_00031	CDS	879				hypothetical protein
IJOHOOOO_00032	gene	1329				
IJOHOOOO_00032	CDS	1329				hypothetical protein
IJOHOOOO_00033	gene	756				
IJOHOOOO_00033	CDS	756				hypothetical protein
IJOHOOOO_00034	gene	2514				
IJOHOOOO_00034	CDS	2514				hypothetical protein
IJOHOOOO_00035	gene	1404	cysS			
IJOHOOOO_00035	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
IJOHOOOO_00036	gene	453	mrnC			
IJOHOOOO_00036	CDS	453	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
IJOHOOOO_00037	gene	735				
IJOHOOOO_00037	CDS	735		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
IJOHOOOO_00038	gene	564				
IJOHOOOO_00038	CDS	564				hypothetical protein
IJOHOOOO_00039	gene	660	sigH			
IJOHOOOO_00039	CDS	660	sigH		COG1595	RNA polymerase sigma-H factor
IJOHOOOO_00040	gene	264				
IJOHOOOO_00040	CDS	264				hypothetical protein
IJOHOOOO_00041	gene	1341				
IJOHOOOO_00041	CDS	1341				hypothetical protein
IJOHOOOO_00042	gene	750	srrA			
IJOHOOOO_00042	CDS	750	srrA		COG0745	Transcriptional regulatory protein SrrA
IJOHOOOO_00043	gene	1074	lytC_2			
IJOHOOOO_00043	CDS	1074	lytC_2	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
IJOHOOOO_00044	gene	210				
IJOHOOOO_00044	CDS	210				hypothetical protein
IJOHOOOO_00045	gene	234				
IJOHOOOO_00045	CDS	234				hypothetical protein
IJOHOOOO_00046	gene	1068	lytC_3			
IJOHOOOO_00046	CDS	1068	lytC_3	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
IJOHOOOO_00047	gene	510				
IJOHOOOO_00047	CDS	510				hypothetical protein
IJOHOOOO_00048	gene	465	yfkJ			
IJOHOOOO_00048	CDS	465	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
IJOHOOOO_00049	gene	894	bglK			
IJOHOOOO_00049	CDS	894	bglK	2.7.1.85	COG1940	Beta-glucoside kinase
IJOHOOOO_00050	gene	993	malR			
IJOHOOOO_00050	CDS	993	malR		COG1609	HTH-type transcriptional regulator MalR
IJOHOOOO_00051	gene	1287				
IJOHOOOO_00051	CDS	1287				hypothetical protein
IJOHOOOO_00052	gene	873	melD			
IJOHOOOO_00052	CDS	873	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
IJOHOOOO_00053	gene	822	melC			
IJOHOOOO_00053	CDS	822	melC		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
IJOHOOOO_00054	gene	2289	malP			
IJOHOOOO_00054	CDS	2289	malP	2.4.1.8		Maltose phosphorylase
IJOHOOOO_00055	gene	1662	malL			
