locus_tag	ftype	length_bp	gene	EC_number	COG	product
CHIGKPEB_00001	gene	540				
CHIGKPEB_00001	CDS	540				hypothetical protein
CHIGKPEB_00002	gene	609				
CHIGKPEB_00002	CDS	609				hypothetical protein
CHIGKPEB_00003	gene	186				
CHIGKPEB_00003	CDS	186				hypothetical protein
CHIGKPEB_00004	gene	1317	cpdA			
CHIGKPEB_00004	CDS	1317	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
CHIGKPEB_00005	gene	75				
CHIGKPEB_00005	tRNA	75				tRNA-Ser(act)
CHIGKPEB_00006	gene	1380	mnmE_1			
CHIGKPEB_00006	CDS	1380	mnmE_1	3.6.5.-	COG0486	tRNA modification GTPase MnmE
CHIGKPEB_00007	gene	1881	mnmG			
CHIGKPEB_00007	CDS	1881	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
CHIGKPEB_00008	gene	729	rsmG			
CHIGKPEB_00008	CDS	729	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
CHIGKPEB_00009	gene	1326				
CHIGKPEB_00009	CDS	1326				hypothetical protein
CHIGKPEB_00010	gene	1944	yjcS			
CHIGKPEB_00010	CDS	1944	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
CHIGKPEB_00011	gene	198				
CHIGKPEB_00011	CDS	198				IS200/IS605 family transposase ISSsu4
CHIGKPEB_00012	gene	516				
CHIGKPEB_00012	CDS	516				hypothetical protein
CHIGKPEB_00013	gene	495				
CHIGKPEB_00013	CDS	495				hypothetical protein
CHIGKPEB_00014	gene	657	bcrA			
CHIGKPEB_00014	CDS	657	bcrA			Bacitracin transport ATP-binding protein BcrA
CHIGKPEB_00015	gene	702				
CHIGKPEB_00015	CDS	702				hypothetical protein
CHIGKPEB_00016	gene	789				
CHIGKPEB_00016	CDS	789				hypothetical protein
CHIGKPEB_00017	gene	789				
CHIGKPEB_00017	CDS	789				hypothetical protein
CHIGKPEB_00018	gene	1623				
CHIGKPEB_00018	CDS	1623				hypothetical protein
CHIGKPEB_00019	gene	882				
CHIGKPEB_00019	CDS	882				hypothetical protein
CHIGKPEB_00020	gene	249				
CHIGKPEB_00020	CDS	249				hypothetical protein
CHIGKPEB_00021	gene	729	yehX			
CHIGKPEB_00021	CDS	729	yehX	3.6.3.-	COG1125	Glycine betaine uptake system ATP-binding protein YehX
CHIGKPEB_00022	gene	882	opuCC			
CHIGKPEB_00022	CDS	882	opuCC		COG1732	Carnitine transport binding protein OpuCC
CHIGKPEB_00023	gene	642	opuCD			
CHIGKPEB_00023	CDS	642	opuCD		COG1174	Carnitine transport permease protein OpuCD
CHIGKPEB_00024	gene	438				
CHIGKPEB_00024	CDS	438				hypothetical protein
CHIGKPEB_00025	gene	1347	pgi			
CHIGKPEB_00025	CDS	1347	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
CHIGKPEB_00026	gene	1614				
CHIGKPEB_00026	CDS	1614				hypothetical protein
CHIGKPEB_00027	gene	375				
CHIGKPEB_00027	CDS	375				hypothetical protein
CHIGKPEB_00028	gene	1068				
CHIGKPEB_00028	CDS	1068				hypothetical protein
CHIGKPEB_00029	gene	435				
CHIGKPEB_00029	CDS	435				hypothetical protein
CHIGKPEB_00030	gene	1401				
CHIGKPEB_00030	CDS	1401				hypothetical protein
CHIGKPEB_00031	gene	390				
CHIGKPEB_00031	CDS	390				hypothetical protein
CHIGKPEB_00032	gene	987	epsF			
CHIGKPEB_00032	CDS	987	epsF		COG1459	Type II secretion system protein F
CHIGKPEB_00033	gene	411	misCA			
CHIGKPEB_00033	CDS	411	misCA		COG0706	Membrane protein insertase MisCA
CHIGKPEB_00034	gene	771				
CHIGKPEB_00034	CDS	771				hypothetical protein
CHIGKPEB_00035	gene	615	sodA1			
CHIGKPEB_00035	CDS	615	sodA1	1.15.1.1		Superoxide dismutase [Mn] 1
CHIGKPEB_00036	gene	885				
CHIGKPEB_00036	CDS	885				hypothetical protein
CHIGKPEB_00037	gene	828	panB			
CHIGKPEB_00037	CDS	828	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
CHIGKPEB_00038	gene	849	panC			
CHIGKPEB_00038	CDS	849	panC	6.3.2.1	COG0414	Pantothenate synthetase
CHIGKPEB_00039	gene	1287	brnQ_1			
CHIGKPEB_00039	CDS	1287	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
CHIGKPEB_00040	gene	1278				
CHIGKPEB_00040	CDS	1278		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
CHIGKPEB_00041	gene	600	COQ5_1			
CHIGKPEB_00041	CDS	600	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
CHIGKPEB_00042	gene	921				
CHIGKPEB_00042	CDS	921				hypothetical protein
CHIGKPEB_00043	gene	543	yajL			
CHIGKPEB_00043	CDS	543	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
CHIGKPEB_00044	gene	528	bcrC			
CHIGKPEB_00044	CDS	528	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
CHIGKPEB_00045	gene	108				
CHIGKPEB_00045	CDS	108				hypothetical protein
CHIGKPEB_00046	gene	945	hmo			
CHIGKPEB_00046	CDS	945	hmo	1.1.3.46		4-hydroxymandelate oxidase
CHIGKPEB_00047	gene	939				
CHIGKPEB_00047	CDS	939				hypothetical protein
CHIGKPEB_00048	gene	576				
CHIGKPEB_00048	CDS	576				hypothetical protein
CHIGKPEB_00049	gene	270	atpC			
CHIGKPEB_00049	CDS	270	atpC			ATP synthase epsilon chain
CHIGKPEB_00050	gene	1296	atpD			
CHIGKPEB_00050	CDS	1296	atpD	7.2.2.1	COG0055	ATP synthase subunit beta, sodium ion specific
CHIGKPEB_00051	gene	225				
CHIGKPEB_00051	CDS	225				hypothetical protein
CHIGKPEB_00052	gene	351	ssrA			
CHIGKPEB_00052	tmRNA	351	ssrA			transfer-messenger RNA, SsrA
CHIGKPEB_00053	gene	696	rspR_1			
CHIGKPEB_00053	CDS	696	rspR_1		COG1802	HTH-type transcriptional repressor RspR
CHIGKPEB_00054	gene	1245	fldA			
CHIGKPEB_00054	CDS	1245	fldA	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
CHIGKPEB_00055	gene	1236	fldB			
CHIGKPEB_00055	CDS	1236	fldB	4.2.1.-		(R)-phenyllactyl-CoA dehydratase alpha subunit
CHIGKPEB_00056	gene	1119	hadC			
CHIGKPEB_00056	CDS	1119	hadC	4.2.1.157	COG1775	(R)-2-hydroxyisocaproyl-CoA dehydratase beta subunit
CHIGKPEB_00057	gene	1134	carC			
CHIGKPEB_00057	CDS	1134	carC	1.3.1.108	COG1960	Caffeyl-CoA reductase-Etf complex subunit CarC
CHIGKPEB_00058	gene	792	carD			
CHIGKPEB_00058	CDS	792	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
CHIGKPEB_00059	gene	1008	carE			
CHIGKPEB_00059	CDS	1008	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
CHIGKPEB_00060	gene	90				
CHIGKPEB_00060	CDS	90				hypothetical protein
CHIGKPEB_00061	gene	699	rplA			
CHIGKPEB_00061	CDS	699	rplA			50S ribosomal protein L1
CHIGKPEB_00062	gene	522	rplJ			
CHIGKPEB_00062	CDS	522	rplJ		COG0244	50S ribosomal protein L10
CHIGKPEB_00063	gene	369	rplL			
CHIGKPEB_00063	CDS	369	rplL			50S ribosomal protein L7/L12
CHIGKPEB_00064	gene	1140	pgl			
CHIGKPEB_00064	CDS	1140	pgl	3.1.1.31		6-phosphogluconolactonase
CHIGKPEB_00065	gene	741				
CHIGKPEB_00065	CDS	741				hypothetical protein
CHIGKPEB_00066	gene	645				
CHIGKPEB_00066	CDS	645				hypothetical protein
CHIGKPEB_00067	gene	1407	patA			
CHIGKPEB_00067	CDS	1407	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
CHIGKPEB_00068	gene	1725				
CHIGKPEB_00068	CDS	1725				hypothetical protein
CHIGKPEB_00069	gene	549				
CHIGKPEB_00069	CDS	549				hypothetical protein
CHIGKPEB_00070	gene	339				
CHIGKPEB_00070	CDS	339				hypothetical protein
CHIGKPEB_00071	gene	771	ycfH			
CHIGKPEB_00071	CDS	771	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
CHIGKPEB_00072	gene	1941	metG			
CHIGKPEB_00072	CDS	1941	metG	6.1.1.10		Methionine--tRNA ligase
CHIGKPEB_00073	gene	456	lrpC			
CHIGKPEB_00073	CDS	456	lrpC		COG1522	HTH-type transcriptional regulator LrpC
CHIGKPEB_00074	gene	1437	pncB2			
CHIGKPEB_00074	CDS	1437	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
CHIGKPEB_00075	gene	837	rsmI			
CHIGKPEB_00075	CDS	837	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
CHIGKPEB_00076	gene	750	yfiC			
CHIGKPEB_00076	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
CHIGKPEB_00077	gene	897				
CHIGKPEB_00077	CDS	897				hypothetical protein
CHIGKPEB_00078	gene	939				
CHIGKPEB_00078	CDS	939				hypothetical protein
CHIGKPEB_00079	gene	822	thiD			
CHIGKPEB_00079	CDS	822	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
CHIGKPEB_00080	gene	927				
CHIGKPEB_00080	CDS	927				hypothetical protein
CHIGKPEB_00081	gene	2211	ziaA			
CHIGKPEB_00081	CDS	2211	ziaA	7.2.2.12		Zinc-transporting ATPase
CHIGKPEB_00082	gene	384	ziaR			
CHIGKPEB_00082	CDS	384	ziaR			Transcriptional repressor SmtB 
CHIGKPEB_00083	gene	357				
CHIGKPEB_00083	CDS	357				hypothetical protein
CHIGKPEB_00084	gene	858				
CHIGKPEB_00084	CDS	858				hypothetical protein
CHIGKPEB_00085	gene	729	lnrL			
CHIGKPEB_00085	CDS	729	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
CHIGKPEB_00086	gene	369	ytrA			
CHIGKPEB_00086	CDS	369	ytrA		COG1725	HTH-type transcriptional repressor YtrA
CHIGKPEB_00087	gene	1791				
CHIGKPEB_00087	CDS	1791				hypothetical protein
CHIGKPEB_00088	gene	846				
CHIGKPEB_00088	CDS	846		1.-.-.-		putative oxidoreductase
CHIGKPEB_00089	gene	312	rpsJ			
CHIGKPEB_00089	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
CHIGKPEB_00090	gene	630	rplC			
CHIGKPEB_00090	CDS	630	rplC		COG0087	50S ribosomal protein L3
CHIGKPEB_00091	gene	624	rplD			
CHIGKPEB_00091	CDS	624	rplD			50S ribosomal protein L4
CHIGKPEB_00092	gene	291	rplW			
CHIGKPEB_00092	CDS	291	rplW			50S ribosomal protein L23
CHIGKPEB_00093	gene	831	rplB			
CHIGKPEB_00093	CDS	831	rplB			50S ribosomal protein L2
CHIGKPEB_00094	gene	282	rpsS			
CHIGKPEB_00094	CDS	282	rpsS			30S ribosomal protein S19
CHIGKPEB_00095	gene	339	rplV			
CHIGKPEB_00095	CDS	339	rplV		COG0091	50S ribosomal protein L22
CHIGKPEB_00096	gene	795	rpsC			
CHIGKPEB_00096	CDS	795	rpsC		COG0092	30S ribosomal protein S3
CHIGKPEB_00097	gene	429	rplP			
CHIGKPEB_00097	CDS	429	rplP		COG0197	50S ribosomal protein L16
CHIGKPEB_00098	gene	204	rpmC			
CHIGKPEB_00098	CDS	204	rpmC			50S ribosomal protein L29
CHIGKPEB_00099	gene	255	rpsQ			
CHIGKPEB_00099	CDS	255	rpsQ			30S ribosomal protein S17
CHIGKPEB_00100	gene	1281	serS			
CHIGKPEB_00100	CDS	1281	serS	6.1.1.11	COG0172	Serine--tRNA ligase
CHIGKPEB_00101	gene	1377	alsT_1			
CHIGKPEB_00101	CDS	1377	alsT_1		COG1115	Amino-acid carrier protein AlsT
CHIGKPEB_00102	gene	195				
CHIGKPEB_00102	CDS	195				hypothetical protein
CHIGKPEB_00103	gene	729				
CHIGKPEB_00103	CDS	729				hypothetical protein
CHIGKPEB_00104	gene	768	thiG			
