locus_tag	ftype	length_bp	gene	EC_number	COG	product
KEBPCLKB_00001	gene	705	dnaC			
KEBPCLKB_00001	CDS	705	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
KEBPCLKB_00002	gene	990	dnaA_1			
KEBPCLKB_00002	CDS	990	dnaA_1			Chromosomal replication initiator protein DnaA
KEBPCLKB_00003	gene	1050				
KEBPCLKB_00003	CDS	1050				hypothetical protein
KEBPCLKB_00004	gene	264	rlmH_1			
KEBPCLKB_00004	CDS	264	rlmH_1	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KEBPCLKB_00005	gene	201	rlmH_2			
KEBPCLKB_00005	CDS	201	rlmH_2	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KEBPCLKB_00006	gene	801	yycJ			
KEBPCLKB_00006	CDS	801	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
KEBPCLKB_00007	gene	162				
KEBPCLKB_00007	CDS	162				Rubredoxin
KEBPCLKB_00008	gene	462	zur			
KEBPCLKB_00008	CDS	462	zur		COG0735	Zinc uptake regulation protein
KEBPCLKB_00009	gene	981	znuA			
KEBPCLKB_00009	CDS	981	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
KEBPCLKB_00010	gene	669	mntB			
KEBPCLKB_00010	CDS	669	mntB		COG1121	Manganese transport system ATP-binding protein MntB
KEBPCLKB_00011	gene	786	znuB			
KEBPCLKB_00011	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
KEBPCLKB_00012	gene	753				
KEBPCLKB_00012	CDS	753				hypothetical protein
KEBPCLKB_00013	gene	216				
KEBPCLKB_00013	CDS	216				hypothetical protein
KEBPCLKB_00014	gene	228	rpsR			
KEBPCLKB_00014	CDS	228	rpsR			30S ribosomal protein S18
KEBPCLKB_00015	gene	444	ssb			
KEBPCLKB_00015	CDS	444	ssb		COG0629	Single-stranded DNA-binding protein
KEBPCLKB_00016	gene	291	rpsF			
KEBPCLKB_00016	CDS	291	rpsF		COG0360	30S ribosomal protein S6
KEBPCLKB_00017	gene	1197	lysN			
KEBPCLKB_00017	CDS	1197	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
KEBPCLKB_00018	gene	180				
KEBPCLKB_00018	CDS	180				hypothetical protein
KEBPCLKB_00019	gene	618				
KEBPCLKB_00019	CDS	618				hypothetical protein
KEBPCLKB_00020	gene	900				
KEBPCLKB_00020	CDS	900				hypothetical protein
KEBPCLKB_00021	gene	1077				
KEBPCLKB_00021	CDS	1077				hypothetical protein
KEBPCLKB_00022	gene	522	bcrC			
KEBPCLKB_00022	CDS	522	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
KEBPCLKB_00023	gene	543	yajL			
KEBPCLKB_00023	CDS	543	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
KEBPCLKB_00024	gene	921				
KEBPCLKB_00024	CDS	921				hypothetical protein
KEBPCLKB_00025	gene	600	COQ5_1			
KEBPCLKB_00025	CDS	600	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KEBPCLKB_00026	gene	1278				
KEBPCLKB_00026	CDS	1278		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
KEBPCLKB_00027	gene	1287	brnQ_1			
KEBPCLKB_00027	CDS	1287	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
KEBPCLKB_00028	gene	849	panC			
KEBPCLKB_00028	CDS	849	panC	6.3.2.1	COG0414	Pantothenate synthetase
KEBPCLKB_00029	gene	828	panB			
KEBPCLKB_00029	CDS	828	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
KEBPCLKB_00030	gene	885				
KEBPCLKB_00030	CDS	885				hypothetical protein
KEBPCLKB_00031	gene	240				
KEBPCLKB_00031	CDS	240				hypothetical protein
KEBPCLKB_00032	gene	201				
KEBPCLKB_00032	CDS	201				hypothetical protein
KEBPCLKB_00033	gene	615	sodA1			
KEBPCLKB_00033	CDS	615	sodA1	1.15.1.1		Superoxide dismutase [Mn] 1
KEBPCLKB_00034	gene	771				
KEBPCLKB_00034	CDS	771				hypothetical protein
KEBPCLKB_00035	gene	702	yidC2			
KEBPCLKB_00035	CDS	702	yidC2		COG0706	Membrane protein insertase YidC 2
KEBPCLKB_00036	gene	264	yidD			
KEBPCLKB_00036	CDS	264	yidD			Putative membrane protein insertion efficiency factor
KEBPCLKB_00037	gene	378	rnpA			
KEBPCLKB_00037	CDS	378	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
KEBPCLKB_00038	gene	135	rpmH			
KEBPCLKB_00038	CDS	135	rpmH		COG0230	50S ribosomal protein L34
KEBPCLKB_00039	gene	1365	dnaA_2			
KEBPCLKB_00039	CDS	1365	dnaA_2			Chromosomal replication initiator protein DnaA
KEBPCLKB_00040	gene	1104	dnaN			
KEBPCLKB_00040	CDS	1104	dnaN		COG0592	Beta sliding clamp
KEBPCLKB_00041	gene	210				
KEBPCLKB_00041	CDS	210				hypothetical protein
KEBPCLKB_00042	gene	1116	recF			
KEBPCLKB_00042	CDS	1116	recF		COG1195	DNA replication and repair protein RecF
KEBPCLKB_00043	gene	1908	gyrB			
KEBPCLKB_00043	CDS	1908	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
KEBPCLKB_00044	gene	2439	gyrA			
KEBPCLKB_00044	CDS	2439	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
KEBPCLKB_00045	gene	318	rsbV			
KEBPCLKB_00045	CDS	318	rsbV		COG1366	Anti-sigma-B factor antagonist
KEBPCLKB_00046	gene	408	rsbW			
KEBPCLKB_00046	CDS	408	rsbW	2.7.11.1	COG2172	Serine-protein kinase RsbW
KEBPCLKB_00047	gene	774	sigB			
KEBPCLKB_00047	CDS	774	sigB		COG1191	RNA polymerase sigma-B factor
KEBPCLKB_00048	gene	183				
KEBPCLKB_00048	CDS	183				hypothetical protein
KEBPCLKB_00049	gene	771	rhmA			
KEBPCLKB_00049	CDS	771	rhmA	4.1.2.53	COG3836	2-keto-3-deoxy-L-rhamnonate aldolase
KEBPCLKB_00050	gene	822	mscS			
KEBPCLKB_00050	CDS	822	mscS		COG0668	Small-conductance mechanosensitive channel
KEBPCLKB_00051	gene	1188				
KEBPCLKB_00051	CDS	1188				hypothetical protein
KEBPCLKB_00052	gene	1584				
KEBPCLKB_00052	CDS	1584				hypothetical protein
KEBPCLKB_00053	gene	756				
KEBPCLKB_00053	CDS	756				hypothetical protein
KEBPCLKB_00054	gene	2514				
KEBPCLKB_00054	CDS	2514				hypothetical protein
KEBPCLKB_00055	gene	1404	cysS			
KEBPCLKB_00055	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KEBPCLKB_00056	gene	453	mrnC			
KEBPCLKB_00056	CDS	453	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
KEBPCLKB_00057	gene	735				
KEBPCLKB_00057	CDS	735		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
KEBPCLKB_00058	gene	564				
KEBPCLKB_00058	CDS	564				hypothetical protein
KEBPCLKB_00059	gene	660	sigH			
