locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLAENOFD_00001	gene	107				
FLAENOFD_00001	rRNA	107				5S ribosomal RNA
FLAENOFD_00002	gene	1506	speA			
FLAENOFD_00002	CDS	1506	speA	4.1.1.19	COG1982	Arginine decarboxylase
FLAENOFD_00003	gene	702	tmk			
FLAENOFD_00003	CDS	702	tmk	2.7.4.9		Thymidylate kinase
FLAENOFD_00004	gene	939				
FLAENOFD_00004	CDS	939				hypothetical protein
FLAENOFD_00005	gene	897				
FLAENOFD_00005	CDS	897				hypothetical protein
FLAENOFD_00006	gene	750	yfiC			
FLAENOFD_00006	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
FLAENOFD_00007	gene	837	rsmI			
FLAENOFD_00007	CDS	837	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
FLAENOFD_00008	gene	1437	pncB2			
FLAENOFD_00008	CDS	1437	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
FLAENOFD_00009	gene	456	lrpC			
FLAENOFD_00009	CDS	456	lrpC		COG1522	HTH-type transcriptional regulator LrpC
FLAENOFD_00010	gene	1941	metG_1			
FLAENOFD_00010	CDS	1941	metG_1	6.1.1.10		Methionine--tRNA ligase
FLAENOFD_00011	gene	771	ycfH			
FLAENOFD_00011	CDS	771	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
FLAENOFD_00012	gene	2547				
FLAENOFD_00012	CDS	2547				hypothetical protein
FLAENOFD_00013	gene	681	lolD_1			
FLAENOFD_00013	CDS	681	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
FLAENOFD_00014	gene	2493				
FLAENOFD_00014	CDS	2493				hypothetical protein
FLAENOFD_00015	gene	198				
FLAENOFD_00015	CDS	198				hypothetical protein
FLAENOFD_00016	gene	1479				
FLAENOFD_00016	CDS	1479				hypothetical protein
FLAENOFD_00017	gene	804	proC			
FLAENOFD_00017	CDS	804	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FLAENOFD_00018	gene	651				
FLAENOFD_00018	CDS	651				hypothetical protein
FLAENOFD_00019	gene	549				
FLAENOFD_00019	CDS	549				hypothetical protein
FLAENOFD_00020	gene	555	rnmV			
FLAENOFD_00020	CDS	555	rnmV	3.1.26.8	COG1658	Ribonuclease M5
FLAENOFD_00021	gene	879	rsmA			
FLAENOFD_00021	CDS	879	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
FLAENOFD_00022	gene	870				
FLAENOFD_00022	CDS	870				hypothetical protein
FLAENOFD_00023	gene	1362	murC			
FLAENOFD_00023	CDS	1362	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
FLAENOFD_00024	gene	834	purR			
FLAENOFD_00024	CDS	834	purR		COG0503	Pur operon repressor
FLAENOFD_00025	gene	651				
FLAENOFD_00025	CDS	651				hypothetical protein
FLAENOFD_00026	gene	1392	glmU_1			
FLAENOFD_00026	CDS	1392	glmU_1			Bifunctional protein GlmU
FLAENOFD_00027	gene	957	prs			
FLAENOFD_00027	CDS	957	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FLAENOFD_00028	gene	1065				
FLAENOFD_00028	CDS	1065				hypothetical protein
FLAENOFD_00029	gene	651				
FLAENOFD_00029	CDS	651				hypothetical protein
FLAENOFD_00030	gene	561	pth			
FLAENOFD_00030	CDS	561	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
FLAENOFD_00031	gene	3405	mfd			
FLAENOFD_00031	CDS	3405	mfd	3.6.4.-		Transcription-repair-coupling factor
FLAENOFD_00032	gene	1062	prsA_1			
FLAENOFD_00032	CDS	1062	prsA_1	5.2.1.8		Foldase protein PrsA
FLAENOFD_00033	gene	1623	murJ_1			
FLAENOFD_00033	CDS	1623	murJ_1		COG2244	Lipid II flippase MurJ
FLAENOFD_00034	gene	1011				
FLAENOFD_00034	CDS	1011				hypothetical protein
FLAENOFD_00035	gene	282	hup			
FLAENOFD_00035	CDS	282	hup			DNA-binding protein HU
FLAENOFD_00036	gene	240				
FLAENOFD_00036	CDS	240			COG1188	putative protein
FLAENOFD_00037	gene	894	gtaB			
FLAENOFD_00037	CDS	894	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
FLAENOFD_00038	gene	1443	rho			
FLAENOFD_00038	CDS	1443	rho	3.6.4.-		Transcription termination factor Rho
FLAENOFD_00039	gene	201	rpmE			
FLAENOFD_00039	CDS	201	rpmE		COG0254	50S ribosomal protein L31
FLAENOFD_00040	gene	327				
FLAENOFD_00040	CDS	327				hypothetical protein
FLAENOFD_00041	gene	720				
FLAENOFD_00041	CDS	720				hypothetical protein
FLAENOFD_00042	gene	915	prmC			
FLAENOFD_00042	CDS	915	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
FLAENOFD_00043	gene	1065	prfA			
FLAENOFD_00043	CDS	1065	prfA		COG0216	Peptide chain release factor 1
FLAENOFD_00044	gene	1038	ywlC			
FLAENOFD_00044	CDS	1038	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
FLAENOFD_00045	gene	447	ywlF			
FLAENOFD_00045	CDS	447	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
FLAENOFD_00046	gene	630	upp			
FLAENOFD_00046	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
FLAENOFD_00047	gene	240				
