locus_tag	ftype	length_bp	gene	EC_number	COG	product
JMJHKOJE_00001	gene	1224				
JMJHKOJE_00001	CDS	1224				hypothetical protein
JMJHKOJE_00002	gene	309				
JMJHKOJE_00002	CDS	309				hypothetical protein
JMJHKOJE_00003	gene	1062	lytC_1			
JMJHKOJE_00003	CDS	1062	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
JMJHKOJE_00004	gene	750	cseB			
JMJHKOJE_00004	CDS	750	cseB		COG0745	Transcriptional regulatory protein CseB
JMJHKOJE_00005	gene	1377				
JMJHKOJE_00005	CDS	1377				hypothetical protein
JMJHKOJE_00006	gene	264				
JMJHKOJE_00006	CDS	264				hypothetical protein
JMJHKOJE_00007	gene	660	sigH			
JMJHKOJE_00007	CDS	660	sigH		COG1595	RNA polymerase sigma-H factor
JMJHKOJE_00008	gene	564				
JMJHKOJE_00008	CDS	564				hypothetical protein
JMJHKOJE_00009	gene	735				
JMJHKOJE_00009	CDS	735		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
JMJHKOJE_00010	gene	453	mrnC			
JMJHKOJE_00010	CDS	453	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
JMJHKOJE_00011	gene	1404	cysS			
JMJHKOJE_00011	CDS	1404	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
JMJHKOJE_00012	gene	2514				
JMJHKOJE_00012	CDS	2514				hypothetical protein
JMJHKOJE_00013	gene	756				
JMJHKOJE_00013	CDS	756				hypothetical protein
JMJHKOJE_00014	gene	1584				
JMJHKOJE_00014	CDS	1584				hypothetical protein
JMJHKOJE_00015	gene	1188				
JMJHKOJE_00015	CDS	1188				hypothetical protein
JMJHKOJE_00016	gene	2358	sasA			
JMJHKOJE_00016	CDS	2358	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
JMJHKOJE_00017	gene	714	phoP_1			
JMJHKOJE_00017	CDS	714	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
JMJHKOJE_00018	gene	684	thiN			
JMJHKOJE_00018	CDS	684	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
JMJHKOJE_00019	gene	657	rpe			
JMJHKOJE_00019	CDS	657	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
JMJHKOJE_00020	gene	900	rsgA			
JMJHKOJE_00020	CDS	900	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
JMJHKOJE_00021	gene	735	fabG_1			
JMJHKOJE_00021	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JMJHKOJE_00022	gene	1884	prkC			
JMJHKOJE_00022	CDS	1884	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
JMJHKOJE_00023	gene	750	stp			
JMJHKOJE_00023	CDS	750	stp	3.1.3.16	COG0631	Serine/threonine phosphatase stp
JMJHKOJE_00024	gene	1038	rlmN			
JMJHKOJE_00024	CDS	1038	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
JMJHKOJE_00025	gene	1344	rsmB			
JMJHKOJE_00025	CDS	1344	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
JMJHKOJE_00026	gene	690				
JMJHKOJE_00026	CDS	690				hypothetical protein
JMJHKOJE_00027	gene	930	fmt			
JMJHKOJE_00027	CDS	930	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
JMJHKOJE_00028	gene	456	def1			
JMJHKOJE_00028	CDS	456	def1	3.5.1.88	COG0242	Peptide deformylase 1
JMJHKOJE_00029	gene	309				
JMJHKOJE_00029	CDS	309				hypothetical protein
JMJHKOJE_00030	gene	1875	fruA			
JMJHKOJE_00030	CDS	1875	fruA		COG1299	PTS system fructose-specific EIIABC component
JMJHKOJE_00031	gene	915	lacC			
JMJHKOJE_00031	CDS	915	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
JMJHKOJE_00032	gene	753	lacR			
JMJHKOJE_00032	CDS	753	lacR			Lactose phosphotransferase system repressor
JMJHKOJE_00033	gene	846				
JMJHKOJE_00033	CDS	846				hypothetical protein
JMJHKOJE_00034	gene	1929				
JMJHKOJE_00034	CDS	1929				hypothetical protein
JMJHKOJE_00035	gene	903				
JMJHKOJE_00035	CDS	903		3.1.1.23	COG2267	Monoacylglycerol lipase
JMJHKOJE_00036	gene	426				
JMJHKOJE_00036	CDS	426			COG0716	Flavodoxin
JMJHKOJE_00037	gene	585				
JMJHKOJE_00037	CDS	585				hypothetical protein
JMJHKOJE_00038	gene	2070	glyS			
JMJHKOJE_00038	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
JMJHKOJE_00039	gene	486	glyQ			
JMJHKOJE_00039	CDS	486	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
JMJHKOJE_00040	gene	750	lysN_1			
JMJHKOJE_00040	CDS	750	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
JMJHKOJE_00041	gene	291	rpsF			
JMJHKOJE_00041	CDS	291	rpsF		COG0360	30S ribosomal protein S6
JMJHKOJE_00042	gene	444	ssb			
JMJHKOJE_00042	CDS	444	ssb		COG0629	Single-stranded DNA-binding protein
JMJHKOJE_00043	gene	228	rpsR			
JMJHKOJE_00043	CDS	228	rpsR			30S ribosomal protein S18
JMJHKOJE_00044	gene	216				
JMJHKOJE_00044	CDS	216				hypothetical protein
JMJHKOJE_00045	gene	753				
JMJHKOJE_00045	CDS	753				hypothetical protein
JMJHKOJE_00046	gene	786	znuB			
JMJHKOJE_00046	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
JMJHKOJE_00047	gene	669	mntB			
JMJHKOJE_00047	CDS	669	mntB		COG1121	Manganese transport system ATP-binding protein MntB
JMJHKOJE_00048	gene	981	znuA			
JMJHKOJE_00048	CDS	981	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
JMJHKOJE_00049	gene	462	zur			
JMJHKOJE_00049	CDS	462	zur		COG0735	Zinc uptake regulation protein
JMJHKOJE_00050	gene	162				
JMJHKOJE_00050	CDS	162				Rubredoxin
JMJHKOJE_00051	gene	801	yycJ			
JMJHKOJE_00051	CDS	801	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
JMJHKOJE_00052	gene	483	rlmH			
JMJHKOJE_00052	CDS	483	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
JMJHKOJE_00053	gene	1050				
JMJHKOJE_00053	CDS	1050				hypothetical protein
JMJHKOJE_00054	gene	990	dnaA_1			
JMJHKOJE_00054	CDS	990	dnaA_1			Chromosomal replication initiator protein DnaA
JMJHKOJE_00055	gene	1338	dnaC			
JMJHKOJE_00055	CDS	1338	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
JMJHKOJE_00056	gene	771	bphF			
JMJHKOJE_00056	CDS	771	bphF	4.1.3.39		4-hydroxy-2-oxovalerate aldolase
JMJHKOJE_00057	gene	183				
JMJHKOJE_00057	CDS	183				hypothetical protein
JMJHKOJE_00058	gene	774	sigB			
JMJHKOJE_00058	CDS	774	sigB		COG1191	RNA polymerase sigma-B factor
JMJHKOJE_00059	gene	408	rsbW			
JMJHKOJE_00059	CDS	408	rsbW	2.7.11.1	COG2172	Serine-protein kinase RsbW
JMJHKOJE_00060	gene	318	rsbV			
JMJHKOJE_00060	CDS	318	rsbV		COG1366	Anti-sigma-B factor antagonist
JMJHKOJE_00061	gene	2439	gyrA			
JMJHKOJE_00061	CDS	2439	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JMJHKOJE_00062	gene	495	gyrB_1			
JMJHKOJE_00062	CDS	495	gyrB_1	5.6.2.2		DNA gyrase subunit B
JMJHKOJE_00063	gene	1350	gyrB_2			
JMJHKOJE_00063	CDS	1350	gyrB_2	5.6.2.2	COG0187	DNA gyrase subunit B
JMJHKOJE_00064	gene	1116	recF			
JMJHKOJE_00064	CDS	1116	recF		COG1195	DNA replication and repair protein RecF
JMJHKOJE_00065	gene	210				
JMJHKOJE_00065	CDS	210				hypothetical protein
JMJHKOJE_00066	gene	1104	dnaN			
JMJHKOJE_00066	CDS	1104	dnaN		COG0592	Beta sliding clamp
JMJHKOJE_00067	gene	1365	dnaA_2			
JMJHKOJE_00067	CDS	1365	dnaA_2		COG0593	Chromosomal replication initiator protein DnaA
JMJHKOJE_00068	gene	468				
JMJHKOJE_00068	CDS	468				hypothetical protein
JMJHKOJE_00069	gene	756				
JMJHKOJE_00069	CDS	756				hypothetical protein
JMJHKOJE_00070	gene	1701				
JMJHKOJE_00070	CDS	1701				hypothetical protein
JMJHKOJE_00071	gene	768				
JMJHKOJE_00071	CDS	768				hypothetical protein
JMJHKOJE_00072	gene	681				
JMJHKOJE_00072	CDS	681				hypothetical protein
JMJHKOJE_00073	gene	657				
JMJHKOJE_00073	CDS	657				hypothetical protein
JMJHKOJE_00074	gene	642	bcrA			
JMJHKOJE_00074	CDS	642	bcrA			Bacitracin transport ATP-binding protein BcrA
JMJHKOJE_00075	gene	576				
JMJHKOJE_00075	CDS	576				hypothetical protein
JMJHKOJE_00076	gene	1683	ruvB_1			
JMJHKOJE_00076	CDS	1683	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
JMJHKOJE_00077	gene	345				
JMJHKOJE_00077	CDS	345			COG0718	Nucleoid-associated protein
JMJHKOJE_00078	gene	600	recR			
JMJHKOJE_00078	CDS	600	recR		COG0353	Recombination protein RecR
JMJHKOJE_00079	gene	276				
JMJHKOJE_00079	CDS	276				hypothetical protein
JMJHKOJE_00080	gene	168				
JMJHKOJE_00080	CDS	168				hypothetical protein
JMJHKOJE_00081	gene	1314	ugtP_1			
JMJHKOJE_00081	CDS	1314	ugtP_1	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
JMJHKOJE_00082	gene	72				
JMJHKOJE_00082	tRNA	72				tRNA-Glu(ctc)
JMJHKOJE_00083	gene	74				
JMJHKOJE_00083	tRNA	74				tRNA-Gly(tcc)
JMJHKOJE_00084	gene	2127	rpoB			
JMJHKOJE_00084	CDS	2127	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
JMJHKOJE_00085	gene	3555	rpoC			
JMJHKOJE_00085	CDS	3555	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
JMJHKOJE_00086	gene	702				
JMJHKOJE_00086	CDS	702		1.11.1.15	COG0450	Peroxiredoxin
JMJHKOJE_00087	gene	447				
JMJHKOJE_00087	CDS	447				hypothetical protein
JMJHKOJE_00088	gene	1200	gerN			
JMJHKOJE_00088	CDS	1200	gerN		COG0475	Na(+)/H(+)-K(+) antiporter GerN
JMJHKOJE_00089	gene	75				
JMJHKOJE_00089	tRNA	75				tRNA-Arg(cct)
JMJHKOJE_00090	gene	402				
JMJHKOJE_00090	CDS	402				hypothetical protein
JMJHKOJE_00091	gene	75				
JMJHKOJE_00091	tRNA	75				tRNA-Arg(tcg)
JMJHKOJE_00092	gene	1860				
JMJHKOJE_00092	CDS	1860				hypothetical protein
JMJHKOJE_00093	gene	1113	mrdB			
JMJHKOJE_00093	CDS	1113	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
JMJHKOJE_00094	gene	2898	mrdA			
JMJHKOJE_00094	CDS	2898	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
JMJHKOJE_00095	gene	486				
JMJHKOJE_00095	CDS	486				hypothetical protein
JMJHKOJE_00096	gene	882				
JMJHKOJE_00096	CDS	882				hypothetical protein
JMJHKOJE_00097	gene	1050	mreB_1			
JMJHKOJE_00097	CDS	1050	mreB_1		COG1077	Cell shape-determining protein MreB
JMJHKOJE_00098	gene	687				
JMJHKOJE_00098	CDS	687				hypothetical protein
JMJHKOJE_00099	gene	603	rnfB			
JMJHKOJE_00099	CDS	603	rnfB	7.2.1.2	COG2878	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B
JMJHKOJE_00100	gene	1014	gloB			
JMJHKOJE_00100	CDS	1014	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
JMJHKOJE_00101	gene	828	COQ3			
JMJHKOJE_00101	CDS	828	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
JMJHKOJE_00102	gene	1221	ask			
JMJHKOJE_00102	CDS	1221	ask	2.7.2.4	COG0527	Aspartokinase
JMJHKOJE_00103	gene	909	thrB			
JMJHKOJE_00103	CDS	909	thrB	2.7.1.39	COG0083	Homoserine kinase
JMJHKOJE_00104	gene	1050	thrC			
JMJHKOJE_00104	CDS	1050	thrC	4.2.3.1	COG0498	Threonine synthase
JMJHKOJE_00105	gene	1338	hom			
JMJHKOJE_00105	CDS	1338	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
JMJHKOJE_00106	gene	990	asd_1			
JMJHKOJE_00106	CDS	990	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
JMJHKOJE_00107	gene	591	ogt			
JMJHKOJE_00107	CDS	591	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
JMJHKOJE_00108	gene	405				
JMJHKOJE_00108	CDS	405				hypothetical protein
JMJHKOJE_00109	gene	474				
JMJHKOJE_00109	CDS	474				hypothetical protein
JMJHKOJE_00110	gene	576				
JMJHKOJE_00110	CDS	576				hypothetical protein
JMJHKOJE_00111	gene	1974	uvrB			
JMJHKOJE_00111	CDS	1974	uvrB			UvrABC system protein B
JMJHKOJE_00112	gene	396				
JMJHKOJE_00112	CDS	396				hypothetical protein
JMJHKOJE_00113	gene	1116				
JMJHKOJE_00113	CDS	1116				hypothetical protein
JMJHKOJE_00114	gene	396	panD			
JMJHKOJE_00114	CDS	396	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
JMJHKOJE_00115	gene	879				
JMJHKOJE_00115	CDS	879				hypothetical protein
JMJHKOJE_00116	gene	1185	aspC			
JMJHKOJE_00116	CDS	1185	aspC	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
JMJHKOJE_00117	gene	249	hcp			
JMJHKOJE_00117	CDS	249	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
JMJHKOJE_00118	gene	627				
JMJHKOJE_00118	CDS	627				hypothetical protein
JMJHKOJE_00119	gene	1260	dacF			
JMJHKOJE_00119	CDS	1260	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
JMJHKOJE_00120	gene	531				
JMJHKOJE_00120	CDS	531				hypothetical protein
JMJHKOJE_00121	gene	1314	hflX			
JMJHKOJE_00121	CDS	1314	hflX		COG2262	GTPase HflX
JMJHKOJE_00122	gene	1413	alsT_1			
JMJHKOJE_00122	CDS	1413	alsT_1		COG1115	Amino-acid carrier protein AlsT
JMJHKOJE_00123	gene	267				
JMJHKOJE_00123	CDS	267				hypothetical protein
JMJHKOJE_00124	gene	1590	clsA_1			
JMJHKOJE_00124	CDS	1590	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
JMJHKOJE_00125	gene	459				
JMJHKOJE_00125	CDS	459				hypothetical protein
JMJHKOJE_00126	gene	837	rsmI			
JMJHKOJE_00126	CDS	837	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
JMJHKOJE_00127	gene	750	yfiC			
JMJHKOJE_00127	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
JMJHKOJE_00128	gene	897				
JMJHKOJE_00128	CDS	897				hypothetical protein
JMJHKOJE_00129	gene	939				
JMJHKOJE_00129	CDS	939				hypothetical protein
JMJHKOJE_00130	gene	702	tmk			
JMJHKOJE_00130	CDS	702	tmk	2.7.4.9		Thymidylate kinase
JMJHKOJE_00131	gene	1506	speA			
JMJHKOJE_00131	CDS	1506	speA	4.1.1.19	COG1982	Arginine decarboxylase
JMJHKOJE_00132	gene	89				
JMJHKOJE_00132	rRNA	89				5S ribosomal RNA (partial)
JMJHKOJE_00133	gene	2421	leuS			
JMJHKOJE_00133	CDS	2421	leuS	6.1.1.4		Leucine--tRNA ligase
JMJHKOJE_00134	gene	915	yijE			
JMJHKOJE_00134	CDS	915	yijE			putative cystine transporter YijE
JMJHKOJE_00135	gene	309	rplU			
JMJHKOJE_00135	CDS	309	rplU		COG0261	50S ribosomal protein L21
JMJHKOJE_00136	gene	318				
JMJHKOJE_00136	CDS	318				hypothetical protein
JMJHKOJE_00137	gene	291	rpmA			
JMJHKOJE_00137	CDS	291	rpmA		COG0211	50S ribosomal protein L27
JMJHKOJE_00138	gene	1281	obg			
JMJHKOJE_00138	CDS	1281	obg	3.6.5.-	COG0536	GTPase Obg
JMJHKOJE_00139	gene	390				
JMJHKOJE_00139	CDS	390				hypothetical protein
JMJHKOJE_00140	gene	1218	tdcB			
JMJHKOJE_00140	CDS	1218	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
JMJHKOJE_00141	gene	378	yabJ			
JMJHKOJE_00141	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
JMJHKOJE_00142	gene	678				
JMJHKOJE_00142	CDS	678				hypothetical protein
JMJHKOJE_00143	gene	642	yigZ			
JMJHKOJE_00143	CDS	642	yigZ		COG1739	IMPACT family member YigZ
JMJHKOJE_00144	gene	759	nadE			
JMJHKOJE_00144	CDS	759	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
JMJHKOJE_00145	gene	723				
JMJHKOJE_00145	CDS	723			COG0217	putative transcriptional regulatory protein
JMJHKOJE_00146	gene	285				
JMJHKOJE_00146	CDS	285				hypothetical protein
JMJHKOJE_00147	gene	1188	uctC			
JMJHKOJE_00147	CDS	1188	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
JMJHKOJE_00148	gene	1170	opuCA			
JMJHKOJE_00148	CDS	1170	opuCA	7.6.2.9	COG1125	Carnitine transport ATP-binding protein OpuCA
JMJHKOJE_00149	gene	1662				
JMJHKOJE_00149	CDS	1662				hypothetical protein
JMJHKOJE_00150	gene	441	fabD			
JMJHKOJE_00150	CDS	441	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
JMJHKOJE_00151	gene	747	fabG_2			
JMJHKOJE_00151	CDS	747	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
JMJHKOJE_00152	gene	1236	fabF			
JMJHKOJE_00152	CDS	1236	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
JMJHKOJE_00153	gene	426	fabZ			
JMJHKOJE_00153	CDS	426	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
JMJHKOJE_00154	gene	1338				
JMJHKOJE_00154	CDS	1338				Nucleobase transporter PlUacP
JMJHKOJE_00155	gene	570	xpt			
JMJHKOJE_00155	CDS	570	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
JMJHKOJE_00156	gene	882				
JMJHKOJE_00156	CDS	882		2.7.1.-	COG1597	Putative lipid kinase
JMJHKOJE_00157	gene	387				
JMJHKOJE_00157	CDS	387				hypothetical protein
JMJHKOJE_00158	gene	441				
JMJHKOJE_00158	CDS	441				hypothetical protein
JMJHKOJE_00159	gene	183				
JMJHKOJE_00159	CDS	183				hypothetical protein
JMJHKOJE_00160	gene	1404	yhgF			
JMJHKOJE_00160	CDS	1404	yhgF		COG2183	Protein YhgF
JMJHKOJE_00161	gene	621	ribU			
JMJHKOJE_00161	CDS	621	ribU			Riboflavin transporter RibU
JMJHKOJE_00162	gene	795	fldI			
JMJHKOJE_00162	CDS	795	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
JMJHKOJE_00163	gene	921				
JMJHKOJE_00163	CDS	921				hypothetical protein
JMJHKOJE_00164	gene	459	tsaE			
JMJHKOJE_00164	CDS	459	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
JMJHKOJE_00165	gene	720	tsaB			
JMJHKOJE_00165	CDS	720	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
JMJHKOJE_00166	gene	450	rimI			
JMJHKOJE_00166	CDS	450	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
JMJHKOJE_00167	gene	1020	tsaD			
JMJHKOJE_00167	CDS	1020	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JMJHKOJE_00168	gene	1236				
JMJHKOJE_00168	CDS	1236				hypothetical protein
JMJHKOJE_00169	gene	1056	epsF			
JMJHKOJE_00169	CDS	1056	epsF		COG1459	Type II secretion system protein F
JMJHKOJE_00170	gene	390				
JMJHKOJE_00170	CDS	390				hypothetical protein
JMJHKOJE_00171	gene	1401				
JMJHKOJE_00171	CDS	1401				hypothetical protein
JMJHKOJE_00172	gene	432				
JMJHKOJE_00172	CDS	432				hypothetical protein
JMJHKOJE_00173	gene	1068				
JMJHKOJE_00173	CDS	1068				hypothetical protein
JMJHKOJE_00174	gene	375				
JMJHKOJE_00174	CDS	375				hypothetical protein
JMJHKOJE_00175	gene	1614				
JMJHKOJE_00175	CDS	1614				hypothetical protein
JMJHKOJE_00176	gene	603				
JMJHKOJE_00176	CDS	603				hypothetical protein
JMJHKOJE_00177	gene	597				
JMJHKOJE_00177	CDS	597				hypothetical protein
JMJHKOJE_00178	gene	1065				
JMJHKOJE_00178	CDS	1065				hypothetical protein
JMJHKOJE_00179	gene	1500				
JMJHKOJE_00179	CDS	1500		7.2.2.10	COG0474	Calcium-transporting ATPase
JMJHKOJE_00180	gene	1167	yoaB			
JMJHKOJE_00180	CDS	1167	yoaB	7.2.2.10	COG0474	Calcium-transporting ATPase 1
JMJHKOJE_00181	gene	330				
JMJHKOJE_00181	CDS	330				hypothetical protein
JMJHKOJE_00182	gene	1077	cshE			
JMJHKOJE_00182	CDS	1077	cshE	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshE
JMJHKOJE_00183	gene	720				
JMJHKOJE_00183	CDS	720				hypothetical protein
JMJHKOJE_00184	gene	327				
JMJHKOJE_00184	CDS	327				hypothetical protein
JMJHKOJE_00185	gene	201	rpmE			
JMJHKOJE_00185	CDS	201	rpmE		COG0254	50S ribosomal protein L31
JMJHKOJE_00186	gene	1443	rho			
JMJHKOJE_00186	CDS	1443	rho	3.6.4.-		Transcription termination factor Rho
JMJHKOJE_00187	gene	894	gtaB			
JMJHKOJE_00187	CDS	894	gtaB	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
JMJHKOJE_00188	gene	240				
JMJHKOJE_00188	CDS	240			COG1188	putative protein
JMJHKOJE_00189	gene	282	hup			
JMJHKOJE_00189	CDS	282	hup			DNA-binding protein HU
JMJHKOJE_00190	gene	1014				
JMJHKOJE_00190	CDS	1014				hypothetical protein
JMJHKOJE_00191	gene	1623	spoVB			
JMJHKOJE_00191	CDS	1623	spoVB		COG2244	Stage V sporulation protein B
JMJHKOJE_00192	gene	444	prsA			
JMJHKOJE_00192	CDS	444	prsA	5.2.1.8		Foldase protein PrsA
JMJHKOJE_00193	gene	2391	glgP			
JMJHKOJE_00193	CDS	2391	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
JMJHKOJE_00194	gene	1425	glgA			
JMJHKOJE_00194	CDS	1425	glgA	2.4.1.21	COG0297	Glycogen synthase
JMJHKOJE_00195	gene	1107	glgD			
JMJHKOJE_00195	CDS	1107	glgD		COG0448	Glycogen biosynthesis protein GlgD
JMJHKOJE_00196	gene	1173	glgC			
JMJHKOJE_00196	CDS	1173	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
JMJHKOJE_00197	gene	1476	glgB			
JMJHKOJE_00197	CDS	1476	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
JMJHKOJE_00198	gene	768	coaX			
JMJHKOJE_00198	CDS	768	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
JMJHKOJE_00199	gene	984	birA			
JMJHKOJE_00199	CDS	984	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
JMJHKOJE_00200	gene	756				
JMJHKOJE_00200	CDS	756				hypothetical protein
JMJHKOJE_00201	gene	405				
JMJHKOJE_00201	CDS	405				hypothetical protein
JMJHKOJE_00202	gene	2043	ftsH_1			
JMJHKOJE_00202	CDS	2043	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
JMJHKOJE_00203	gene	1380	tilS			
JMJHKOJE_00203	CDS	1380	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
JMJHKOJE_00204	gene	414				
JMJHKOJE_00204	CDS	414				hypothetical protein
JMJHKOJE_00205	gene	633	murI			
JMJHKOJE_00205	CDS	633	murI	5.1.1.3	COG0796	Glutamate racemase
JMJHKOJE_00206	gene	429	lrpC			
JMJHKOJE_00206	CDS	429	lrpC		COG1522	HTH-type transcriptional regulator LrpC
JMJHKOJE_00207	gene	1941	metG			
JMJHKOJE_00207	CDS	1941	metG	6.1.1.10		Methionine--tRNA ligase
JMJHKOJE_00208	gene	771	ycfH_1			
JMJHKOJE_00208	CDS	771	ycfH_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
JMJHKOJE_00209	gene	2547				
JMJHKOJE_00209	CDS	2547				hypothetical protein
JMJHKOJE_00210	gene	678	lolD			
JMJHKOJE_00210	CDS	678	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JMJHKOJE_00211	gene	495	pepT			
JMJHKOJE_00211	CDS	495	pepT	3.4.11.4	COG2195	Peptidase T
JMJHKOJE_00212	gene	696				
JMJHKOJE_00212	CDS	696				hypothetical protein
JMJHKOJE_00213	gene	489				
JMJHKOJE_00213	CDS	489				hypothetical protein
JMJHKOJE_00214	gene	150	rpmG2			
JMJHKOJE_00214	CDS	150	rpmG2			50S ribosomal protein L33 2
JMJHKOJE_00215	gene	207	secE			
JMJHKOJE_00215	CDS	207	secE			Protein translocase subunit SecE
JMJHKOJE_00216	gene	543	nusG			
