locus_tag	ftype	length_bp	gene	EC_number	COG	product
PBFCLFBG_00001	gene	972	rhaR_1			
PBFCLFBG_00001	CDS	972	rhaR_1			HTH-type transcriptional activator RhaR
PBFCLFBG_00002	gene	1197				
PBFCLFBG_00002	CDS	1197			COG3385	IS4 family transposase ISPa45
PBFCLFBG_00003	gene	1050				
PBFCLFBG_00003	CDS	1050			COG2826	IS30 family transposase ISHahy9
PBFCLFBG_00004	gene	2484				
PBFCLFBG_00004	CDS	2484				hypothetical protein
PBFCLFBG_00005	gene	192				
PBFCLFBG_00005	CDS	192				hypothetical protein
PBFCLFBG_00006	gene	657				
PBFCLFBG_00006	CDS	657				hypothetical protein
PBFCLFBG_00007	gene	543	ybdM			
PBFCLFBG_00007	CDS	543	ybdM		COG1475	putative protein YbdM
PBFCLFBG_00008	gene	1128	cysH			
PBFCLFBG_00008	CDS	1128	cysH	1.8.4.8		Phosphoadenosine phosphosulfate reductase
PBFCLFBG_00009	gene	882				
PBFCLFBG_00009	CDS	882				hypothetical protein
PBFCLFBG_00010	gene	1485				
PBFCLFBG_00010	CDS	1485				hypothetical protein
PBFCLFBG_00011	gene	303				
PBFCLFBG_00011	CDS	303				hypothetical protein
PBFCLFBG_00012	gene	1230				
PBFCLFBG_00012	CDS	1230				hypothetical protein
PBFCLFBG_00013	gene	372				
PBFCLFBG_00013	CDS	372				hypothetical protein
PBFCLFBG_00014	gene	1410				
PBFCLFBG_00014	CDS	1410				hypothetical protein
PBFCLFBG_00015	gene	264				
PBFCLFBG_00015	CDS	264				hypothetical protein
PBFCLFBG_00016	gene	279				
PBFCLFBG_00016	CDS	279				hypothetical protein
PBFCLFBG_00017	gene	285				
PBFCLFBG_00017	CDS	285				hypothetical protein
PBFCLFBG_00018	gene	378				
PBFCLFBG_00018	CDS	378				hypothetical protein
PBFCLFBG_00019	gene	1266				
PBFCLFBG_00019	CDS	1266				hypothetical protein
PBFCLFBG_00020	gene	915				
PBFCLFBG_00020	CDS	915				hypothetical protein
PBFCLFBG_00021	gene	645				
PBFCLFBG_00021	CDS	645				hypothetical protein
PBFCLFBG_00022	gene	1179				
PBFCLFBG_00022	CDS	1179				hypothetical protein
PBFCLFBG_00023	gene	462				
PBFCLFBG_00023	CDS	462				hypothetical protein
PBFCLFBG_00024	gene	345				
PBFCLFBG_00024	CDS	345				hypothetical protein
PBFCLFBG_00025	gene	960				
PBFCLFBG_00025	CDS	960				hypothetical protein
PBFCLFBG_00026	gene	750				
PBFCLFBG_00026	CDS	750				hypothetical protein
PBFCLFBG_00027	gene	3864				
PBFCLFBG_00027	CDS	3864				hypothetical protein
PBFCLFBG_00028	gene	474				
PBFCLFBG_00028	CDS	474				hypothetical protein
PBFCLFBG_00029	gene	435				
PBFCLFBG_00029	CDS	435				hypothetical protein
PBFCLFBG_00030	gene	1434				
PBFCLFBG_00030	CDS	1434				hypothetical protein
PBFCLFBG_00031	gene	216				
PBFCLFBG_00031	CDS	216				hypothetical protein
PBFCLFBG_00032	gene	873				
PBFCLFBG_00032	CDS	873				hypothetical protein
PBFCLFBG_00033	gene	414				
PBFCLFBG_00033	CDS	414				hypothetical protein
PBFCLFBG_00034	gene	384				
PBFCLFBG_00034	CDS	384				hypothetical protein
PBFCLFBG_00035	gene	336				
PBFCLFBG_00035	CDS	336				hypothetical protein
PBFCLFBG_00036	gene	246				
PBFCLFBG_00036	CDS	246				hypothetical protein
PBFCLFBG_00037	gene	1047				
PBFCLFBG_00037	CDS	1047				hypothetical protein
PBFCLFBG_00038	gene	357				
PBFCLFBG_00038	CDS	357				hypothetical protein
PBFCLFBG_00039	gene	666				
PBFCLFBG_00039	CDS	666				hypothetical protein
PBFCLFBG_00040	gene	315				
PBFCLFBG_00040	CDS	315				hypothetical protein
PBFCLFBG_00041	gene	249				
PBFCLFBG_00041	CDS	249				hypothetical protein
PBFCLFBG_00042	gene	1527				
PBFCLFBG_00042	CDS	1527				hypothetical protein
PBFCLFBG_00043	gene	1560				
PBFCLFBG_00043	CDS	1560				hypothetical protein
PBFCLFBG_00044	gene	1365				
PBFCLFBG_00044	CDS	1365				hypothetical protein
PBFCLFBG_00045	gene	903				
PBFCLFBG_00045	CDS	903				hypothetical protein
PBFCLFBG_00046	gene	171				
PBFCLFBG_00046	CDS	171				hypothetical protein
PBFCLFBG_00047	gene	189				
PBFCLFBG_00047	CDS	189				hypothetical protein
PBFCLFBG_00048	gene	687				
PBFCLFBG_00048	CDS	687				hypothetical protein
PBFCLFBG_00049	gene	420				
