locus_tag	ftype	length_bp	gene	EC_number	COG	product
JIAAJODB_00001	gene	747	recO			
JIAAJODB_00001	CDS	747	recO		COG1381	DNA repair protein RecO
JIAAJODB_00002	gene	1377				
JIAAJODB_00002	CDS	1377			COG2239	Magnesium transporter MgtE
JIAAJODB_00003	gene	903	era			
JIAAJODB_00003	CDS	903	era			GTPase Era
JIAAJODB_00004	gene	897				
JIAAJODB_00004	CDS	897				hypothetical protein
JIAAJODB_00005	gene	462	ybeY			
JIAAJODB_00005	CDS	462	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
JIAAJODB_00006	gene	1059				
JIAAJODB_00006	CDS	1059			COG1702	PhoH-like protein
JIAAJODB_00007	gene	552	hpf			
JIAAJODB_00007	CDS	552	hpf			Ribosome hibernation promotion factor
JIAAJODB_00008	gene	924	fba			
JIAAJODB_00008	CDS	924	fba	4.1.2.13		Fructose-bisphosphate aldolase
JIAAJODB_00009	gene	906				
JIAAJODB_00009	CDS	906				hypothetical protein
JIAAJODB_00010	gene	1104				
JIAAJODB_00010	CDS	1104				hypothetical protein
JIAAJODB_00011	gene	1545				
JIAAJODB_00011	CDS	1545				hypothetical protein
JIAAJODB_00012	gene	765	cbiJ			
JIAAJODB_00012	CDS	765	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
JIAAJODB_00013	gene	726	cbiH			
JIAAJODB_00013	CDS	726	cbiH	2.1.1.-	COG1010	putative cobalt-factor III C(17)-methyltransferase
JIAAJODB_00014	gene	1200	cbiG			
JIAAJODB_00014	CDS	1200	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
JIAAJODB_00015	gene	759	cbiF			
JIAAJODB_00015	CDS	759	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
JIAAJODB_00016	gene	567	cbiT			
JIAAJODB_00016	CDS	567	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
JIAAJODB_00017	gene	720	cbiE			
JIAAJODB_00017	CDS	720	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
JIAAJODB_00018	gene	1167	cbiD			
JIAAJODB_00018	CDS	1167	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
JIAAJODB_00019	gene	639	cbiC			
JIAAJODB_00019	CDS	639	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
JIAAJODB_00020	gene	885	pduX			
JIAAJODB_00020	CDS	885	pduX	2.7.1.177	COG4542	L-threonine kinase
JIAAJODB_00021	gene	1092	cobD			
JIAAJODB_00021	CDS	1092	cobD	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
JIAAJODB_00022	gene	456	cbiB_1			
JIAAJODB_00022	CDS	456	cbiB_1			Cobalamin biosynthesis protein CbiB
JIAAJODB_00023	gene	543	cbiB_2			
JIAAJODB_00023	CDS	543	cbiB_2			Cobalamin biosynthesis protein CbiB
